Feature,Importance
wavelet_level_4_entropy,0.12261020582492123
wavelet_level_5_entropy,0.08972967520118479
hurst_exponent,0.07867073603006258
sample_entropy,0.06441926433090651
theta_power,0.04690242942567293
theta_relative_power,0.03854494140383831
hjorth_mobility,0.031772342438326835
approximate_entropy,0.030381350170515135
delta_power,0.028725327670501434
wavelet_level_3_entropy,0.026124275397059697
median,0.02140287803669957
spectral_centroid,0.019937053207465284
alpha_relative_power,0.01836492251367963
delta_relative_power,0.018132603633287333
dominant_frequency,0.01694630227299579
wavelet_level_3_energy,0.01662116365131452
complexity,0.01634106934607491
beta_relative_power,0.01627395342559082
wavelet_level_5_mean,0.016027049337482533
beta_power,0.015226496694909377
wavelet_level_3_relative_energy,0.015156563365207164
wavelet_level_3_std,0.014945809999273172
zero_crossing_rate,0.014634798534902571
spectral_edge_95,0.013775441495316922
theta_beta_ratio,0.013257925810278738
alpha_power,0.011665380105988095
skewness,0.011376874611311493
kurtosis,0.008169601111295754
wavelet_level_0_std,0.007684542970188232
dfa_alpha,0.007463756164900795
alpha_delta_ratio,0.007116248941306815
min,0.007049075098561987
wavelet_level_4_energy,0.007043896130334853
wavelet_level_2_energy,0.006973710444722898
range,0.006850838330697157
wavelet_level_1_relative_energy,0.006496265953716891
hjorth_complexity,0.006242061141206025
wavelet_level_5_energy,0.00623410622863319
wavelet_level_4_relative_energy,0.006097093143706172
wavelet_level_0_relative_energy,0.005485317982342693
wavelet_level_1_energy,0.0053892856097186
wavelet_level_4_std,0.005211249500575677
wavelet_level_5_std,0.0047721087783164405
max,0.004699054038321088
wavelet_level_5_relative_energy,0.00451440107596651
gamma_relative_power,0.00436563353869997
spectral_entropy,0.0041820853787110255
wavelet_level_2_std,0.003977464779977397
gamma_power,0.0038297922984224255
wavelet_level_2_relative_energy,0.003778419826003961
wavelet_level_1_entropy,0.0036929578448201238
iqr,0.0034690050148726676
wavelet_level_1_std,0.0033949037514372352
q25,0.003031156382739828
wavelet_level_2_entropy,0.0028943364856364195
wavelet_level_0_entropy,0.0022553013129372524
wavelet_level_0_energy,0.002055864117871752
q75,0.001712965771828459
mean,0.0016100947633015564
dominant_power,0.0014720968639241306
wavelet_level_1_mean,0.0013652882723345322
wavelet_level_2_mean,0.0013419283450401662
total_power,0.0010667594080994958
wavelet_level_4_mean,0.0009633331681356875
power,0.0009361193426212629
mad,0.0009031968808817687
wavelet_level_3_mean,0.0008804162981216746
var,0.000879729417251838
wavelet_level_0_mean,0.0008610801137365674
energy,0.0008199809753404285
rms,0.0007931886154732292
wavelet_total_energy,0.0007734847896284916
std,0.0006565734041881173
hjorth_activity,0.0005773962586834284
