Feature,Importance
sample_entropy,326
hurst_exponent,194
median,170
wavelet_level_4_entropy,165
wavelet_level_5_mean,162
theta_relative_power,157
wavelet_level_5_entropy,153
alpha_relative_power,101
hjorth_mobility,95
min,87
hjorth_complexity,68
theta_beta_ratio,68
dfa_alpha,65
skewness,65
range,63
delta_relative_power,62
wavelet_level_2_entropy,62
beta_power,52
theta_power,47
beta_relative_power,43
wavelet_level_3_entropy,42
alpha_power,42
wavelet_level_1_entropy,41
dominant_frequency,39
max,38
zero_crossing_rate,29
kurtosis,28
complexity,28
wavelet_level_5_relative_energy,28
wavelet_level_5_std,27
wavelet_level_4_relative_energy,27
spectral_entropy,26
wavelet_level_2_relative_energy,25
delta_power,24
spectral_centroid,24
gamma_power,23
approximate_entropy,23
gamma_relative_power,22
wavelet_level_0_entropy,20
wavelet_level_1_mean,17
wavelet_level_1_std,15
wavelet_level_0_relative_energy,15
wavelet_level_1_relative_energy,14
q25,12
wavelet_level_5_energy,11
wavelet_level_3_mean,11
wavelet_level_4_std,11
wavelet_level_3_relative_energy,11
mean,11
wavelet_level_0_std,10
wavelet_level_0_mean,10
wavelet_level_1_energy,9
mad,9
wavelet_level_3_std,8
q75,7
iqr,7
wavelet_level_2_mean,7
wavelet_level_2_std,6
alpha_delta_ratio,6
wavelet_level_4_energy,5
wavelet_level_4_mean,5
wavelet_level_3_energy,5
wavelet_level_2_energy,3
wavelet_level_0_energy,3
var,3
dominant_power,2
wavelet_total_energy,2
spectral_edge_95,2
total_power,1
std,1
power,0
energy,0
hjorth_activity,0
rms,0
